OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
11398,2009,CA,CDF,AEU,14.71073055,97355.12583989,1632.50403981367,AEU023037,SHAKE FIDDLE,3,2009/11/06 00:00:00+00,2009/11/06 00:00:00+00,7,2,1,2
11399,2009,CA,CDF,AEU,1.42763865,9415.55251225,493.623638151379,AEU023037,SHAKE FIDDLE,3,2009/11/06 00:00:00+00,2009/11/06 00:00:00+00,2,2,1,2
11400,2009,CA,CDF,AEU,66.04779816,437046.77786169,3932.11433792809,AEU023037,SHAKE FIDDLE,3,2009/11/06 00:00:00+00,2009/11/06 00:00:00+00,66,2,1,2
11401,2009,CA,CDF,AEU,7.0639863,46743.99198623,967.24808009869,AEU023037,SHAKE FIDDLE,3,2009/11/06 00:00:00+00,2009/11/06 00:00:00+00,7,2,1,2
11402,2009,CA,CDF,AEU,27.68932343,184390.048538765,2507.49206321329,AEU022956,SLY PARK,3,2009/11/05 00:00:00+00,2009/11/05 00:00:00+00,28,3,1,2
11403,2009,CA,CDF,NEU,240.22492981,1625614.76567076,7819.78739828829,RX-NORTH-038-NEU,RICHARD RANCH,3,2009/06/09 00:00:00+00,,240,3,3,2
11404,2009,CA,NPS,YNP,33.71278,218163.465443785,2995.12583165608,00001682,EL PORTAL RX,3,2009/06/11 00:00:00+00,2009/06/11 00:00:00+00,34,2,1,1
11405,2009,CA,NPS,PNP,121.94197083,765364.251592105,6521.81850701179,00009001,BOTTOMLANDS RX,3,2009/06/09 00:00:00+00,2009/06/10 00:00:00+00,122,2,1,2
11406,2008,CA,NPS,YNP,17.62260437,114170.888937285,2490.93927217413,00004155,YV-04,3,2008/09/18 00:00:00+00,2009/09/19 00:00:00+00,17.62253438,3,3,1
11407,2008,CA,NPS,YNP,132.246521,851935.91215896,8300.37556089172,00004340,MARIPOSA GROVE,3,2008/09/30 00:00:00+00,2008/10/04 00:00:00+00,132.24599539,3,1,1
11408,2008,CA,NPS,RWP,152.26686096,1087795.85034299,4921.45789702226,107,COPPER CREEK,3,2008/10/27 00:00:00+00,1008/10/29 00:00:00+00,161,2,3,2
11409,2008,CA,NPS,RWP,229.48635864,1639039.68608008,8903.82748741136,102,WOODEN GATE,3,2008/09/25 00:00:00+00,2008/10/03 00:00:00+00,212,2,1,1
11410,2008,CA,NPS,LNP,13.49357319,94639.879075925,1669.19979410065,08-043,LOOMIS B,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,13,2,,
11411,2008,CA,NPS,LNP,22.59781265,158470.61562737,1647.62409710487,08-043,LOOMIS F,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,23,2,,
11412,2008,CA,NPS,LNP,17.12865639,119470.91767848,4142.3889726609,08-001,MINERAL G,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,17.1,1,2,2
11413,2008,CA,CDF,MVU,92.47320557,530875.454698555,3521.65976782149,Unit 2,CORDE MADERA VMP,3,2008/02/03 00:00:00+00,2008/02/03 00:00:00+00,92,3,1,1
11414,2008,CA,CDF,HUU,6.40863752,45137.717126785,927.81282055073,Oak Knoll,BIG BEND VMP,3,2008/10/08 00:00:00+00,2008/10/08 00:00:00+00,6,1,1,1
11415,2008,CA,CDF,HUU,11.07589912,78009.70124471,1505.0232290949,Horse Pasture,BIG BEND VMP,3,2008/10/08 00:00:00+00,2008/10/08 00:00:00+00,12,1,1,1
11416,2008,CA,CDF,LNU,489.46673584,3269503.24807632,19703.7423556141,RX NORTH-058-LNU,GEYSERS VMP,3,2008/03/07 00:00:00+00,2008/03/07 00:00:00+00,208,2,2,2
11417,2008,CA,CDF,SCU,345.06332397,2212106.23991776,19279.4094950229,RXN045SCU,GRANT RANCH,7,2008/07/10 00:00:00+00,2008/08/10 00:00:00+00,609,2,1,1
11418,2008,CA,CDF,SCU,1697.96496582,10832487.7584714,18734.2109682161,RXN048SCU,KELLY CABIN,7,2008/11/21 00:00:00+00,2008/11/22 00:00:00+00,1698,2,3,1
11419,2008,CA,CDF,SCU,479.5411377,3079561.09502919,8980.9345927005,RXN041SCU,BLUE OAK,7,2008/09/11 00:00:00+00,2008/09/11 00:00:00+00,480,2,2,1
11420,2008,CA,CDF,RRU,41.54708862,242540.55248448,2040.91967234238,RX SOUTH RRU 38,SANTA ROSA VMP,3,2008/01/01 00:00:00+00,2008/12/31 00:00:00+00,50,3,3,3
11421,2008,CA,CDF,RRU,630.60980225,3684797.59041934,11230.5621752483,RX SOUTH RRU 42,JOHNSON RANCH VMP,3,2008/01/01 00:00:00+00,2008/12/31 00:00:00+00,416,3,2,2
11422,2008,CA,CDF,SLU,2805.87255859,16991661.7983798,17708.5243911303,,PORTER,3,2008/11/08 00:00:00+00,2008/11/08 00:00:00+00,2806,2,2,1
11423,2008,CA,CDF,SLU,123.25988007,748980.38268826,5504.87693722793,,ESTERO,3,2008/11/06 00:00:00+00,2008/11/06 00:00:00+00,123,3,2,1
11424,2008,CA,CDF,TGU,726.56134033,5000359.18874218,11491.3655849542,,Nature Conservancy Brown Unit,3,2008/05/30 00:00:00+00,2008/05/30 00:00:00+00,723,2,2,2
11425,2008,CA,NPS,YNP,1123.16052246,7244249.58202266,13056.8653926206,00000764,WAWONA NW,3,2008/04/09 00:00:00+00,2008/04/18 00:00:00+00,1123.15526435,2,1,1
